	PatID	Archaea
SRR5971223	ST27	0
SRR5971224	SP08	0
SRR5971225	ST14	0
SRR5971226	ST09	0
SRR5971227	ST05	0
SRR5971228	ST03	0
SRR5971230	ST09	0
SRR5971231	ST04	1
SRR5971232	ST19	0
SRR5971233	ST04	1
SRR5971234	ST29	0
SRR5971235	ST18	0
SRR5971236	ST23	0
SRR5971238	ST12	0
SRR5971239	ST19	0
SRR5971240	ST09	0
SRR5971242	ST08	0
SRR5971243	ST26	0
SRR5971244	ST05	0
SRR5971245	ST13	0
SRR5971246	ST03	0
SRR5971248	UP18	0
SRR5971249	UP18	0
SRR5971250	UP17	0
SRR5971251	UP06	0
SRR5971252	UP25	1
SRR5971253	UP40	1
SRR5971254	UP34	0
SRR5971255	UP28	0
SRR5971256	UP16	1
SRR5971257	UP09	0
SRR5971258	UP18	0
SRR5971259	UP18	0
SRR5971260	UP17	0
SRR5971261	UP06	1
SRR5971262	UP32	0
SRR5971263	UP25	0
SRR5971264	UP36	0
SRR5971265	UP34	1
SRR5971266	UP17	0
SRR5971267	UP16	0
SRR5971268	UP09	0
SRR5971269	UP18	1
SRR5971270	UP17	0
SRR5971271	UP17	1
SRR5971272	UP06	0
SRR5971273	UP32	0
SRR5971274	UP25	0
SRR5971275	UP40	0
SRR5971276	UP36	0
SRR5971277	UP34	1
SRR5971278	UP13	0
SRR5971279	UP16	0
SRR5971280	UP09	0
SRR5971281	UP18	1
SRR5971282	UP17	1
SRR5971283	UP13	0
SRR5971284	UP16	0
SRR5971285	UP32	0
SRR5971286	UP25	0
SRR5971287	UP40	0
SRR5971288	UP36	1
SRR5971289	UP28	0
SRR5971290	UP13	0
SRR5971291	UP16	1
SRR5971292	UP09	0
SRR5971293	UP18	0
SRR5971294	UP17	0
SRR5971295	UP13	0
SRR5971296	UP16	1
SRR5971297	UP31	0
SRR5971298	UP07	0
SRR5971299	UP40	1
SRR5971300	UP36	1
SRR5971301	UP28	0
SRR5971302	UP13	1
SRR5971303	UP32	1
SRR5971304	UP18	0
SRR5971305	UP17	0
SRR5971306	UP13	0
SRR5971307	UP04	1
SRR5971308	UP31	0
SRR5971309	UP07	0
SRR5971310	UP40	0
SRR5971311	UP34	0
SRR5971312	UP28	0
SRR5971313	UP16	0
SRR5971314	UP05	0
SRR5971316	UP18	0
SRR5971317	UP17	1
SRR5971318	UP13	0
SRR5971319	UP31	0
SRR5971320	UP07	0
SRR5971321	UP40	0
SRR5971322	UP34	1
SRR5971323	UP28	1
SRR5971324	UP05	1
SRR5971326	UP18	1
SRR5971327	UP17	0
SRR5971328	UP06	0
SRR5971329	UP32	1
SRR5971330	UP31	0
SRR5971331	UP10	0
SRR5971332	UP40	1
SRR5971333	UP34	0
SRR5971334	UP28	1
SRR5971335	UP16	1
SRR5971336	UP05	1
SRR5971338	UP32	0
SRR5971339	UP31	0
SRR5971340	UP07	0
SRR5971341	UP10	0
SRR5971342	UP33	1
SRR5971343	UP33	0
SRR5971344	UP29	0
SRR5971345	UP36	0
SRR5971346	UP08	1
SRR5971347	UP28	1
SRR5971348	UP32	1
SRR5971349	UP31	1
SRR5971350	UP07	0
SRR5971351	UP10	0
SRR5971352	UP33	1
SRR5971353	UP33	1
SRR5971354	UP03	0
SRR5971355	UP36	0
SRR5971356	UP08	1
SRR5971357	UP28	1
SRR5971358	UP32	0
SRR5971359	UP25	0
SRR5971360	UP07	0
SRR5971361	UP10	0
SRR5971362	UP33	1
SRR5971363	UP33	1
SRR5971364	UP03	0
SRR5971365	UP40	0
SRR5971366	UP36	0
SRR5971367	UP08	1
SRR5971368	UP28	0
SRR5971369	UP31	0
SRR5971370	UP25	0
SRR5971371	UP07	0
SRR5971372	UP10	1
SRR5971373	UP33	1
SRR5971374	UP33	1
SRR5971375	UP40	0
SRR5971376	UP40	0
SRR5971377	UP34	0
SRR5971378	UP08	0
SRR5971379	UP28	1
SRR5971380	UP31	0
SRR5971381	UP25	0
SRR5971382	UP07	1
SRR5971383	UP23	0
SRR5971384	UP33	1
SRR5971385	UP33	0
SRR5971386	UP40	1
